...1,player_id,tournament_id,season_id,totalRating,countRating,goals,assists,goalsAssistsSum,yellowCards,directRedCards,redCards,minutesPlayed,matchesStarted,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,id,type,appearances,rating,bigChancesCreated,bigChancesMissed,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,tacklesWon,tacklesWonPercentage,totwAppearances,shotsFromInsideTheBox,shotsFromOutsideTheBox,team>name,team>nameCode,team>ranking,team>id
68717,128371,8,8578,0,0,0,0,0,0,NA,0,28,NA,NA,NA,1,0,375668,overall,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Espanyol,ESP,NA,2814
68727,128376,8,13662,178.9,26,0,1,1,9,NA,0,2122,25,NA,0,NA,NA,128202,overall,26,6.8807692307692,4,1,796,162,958,83.089770354906,477,324,120,9,4,57.142857142857,55,42,5,21.739130434783,14,7,7,73,52.142857142857,41,52.564102564103,114,52.293577981651,0,0,0,1,1,0,0,0,0,0,0,0,38,33.628318584071,78,1,0,4,16,36,1,0,31,6,20,0,0,9,0,0,0,0,29,1,0,0,0,0,0,0,0,9,7,23,104,37,0,0,0,113,30,0,0,522,459,223,NA,49,NA,1371,NA,NA,1,NA,NA,Sevilla,SEV,NA,2833
68732,128376,8,18020,155.7,23,2,1,3,10,NA,0,1737,19,868.5,0,NA,NA,169051,overall,23,6.769565217391301,1,2,610,134,744,81.98924731182801,386,226,80,2,1,50,35,26,2,40,10,3,7,54,51.428571428571,47,54.651162790698,101,52.879581151832,20,0,0,1,1,0,0,2,0,0,0,2,42,42,68,0,1,3,19,32,1,0,18,2,12,0,0,5,0,0,0,0,22,1,0,0,0,0,0,0,0,2,2,5,90,39,0,0,0,100,23,0,0,426,323,152,4,80,28,1008,23,65.714285714286,1,NA,NA,Sevilla,SEV,NA,2833
68735,128376,8,11906,195.6,29,3,1,4,10,NA,0,2185,26,728.33333333333,0,NA,NA,97263,overall,29,6.7448275862069,1,0,853,217,1070,79.719626168224,568,286,114,5,4,57.142857142857,72,48,1,7.1428571428571,8,6,2,90,51.724137931034,27,38.571428571429,117,47.95081967213101,37.5,0,0,0,0,0,0,3,0,0,1,1,48,31.578947368421,58,1,0,4,15,53,0,0,30,2,12,0,0,7,0,0,0,0,30,7,0,0,0,0,0,0,0,5,7,14,127,43,0,0,0,152,37,0,0,642,442,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Sevilla,SEV,NA,2833
68749,128383,8,13662,172,26,0,0,0,3,NA,0,2340,26,NA,0,NA,NA,112110,overall,26,6.6153846153846,0,0,737,259,996,73.995983935743,655,82,8,1,0,0,2,0,0,0,0,0,0,3,33.333333333333,2,100,5,45.454545454545,0,0,0,0,1,0,0,0,0,0,0,0,206,45.67627494456801,17,2,0,1,2,1,0,0,4,0,0,0,62,6,5,1,41,21,39,6,7,13,13,16,1,0,0,1,0,0,6,0,0,0,0,451,45,3,13,752,244,271,NA,28,NA,1227,NA,NA,NA,NA,NA,Real Sociedad,SOC,NA,2824
68750,128383,8,18020,183.1,27,0,0,0,3,NA,0,2430,27,NA,0,NA,NA,10351,overall,27,6.781481481481499,0,0,677,306,983,68.870803662258,578,99,23,1,0,0,2,1,0,0,0,0,0,5,62.5,12,85.714285714286,17,77.272727272727,0,0,0,0,1,0,0,0,0,0,0,0,198,40,17,4,2,0,3,1,0,0,2,0,0,0,77,7,3,1,50,26,30,5,5,8,8,18,4,0,0,1,0,0,5,2,0,0,0,495,35,1,23,655,328,313,0,79,57,1227,1,50,1,NA,NA,Real Sociedad,SOC,NA,2824
68755,128383,8,11906,257.9,38,0,0,0,4,NA,0,3420,38,NA,0,NA,NA,115824,overall,38,6.7868421052632,1,0,1019,380,1399,72.83774124374601,871,148,27,2,0,0,5,7,0,0,0,0,0,9,64.285714285714,6,85.714285714286,15,71.42857142857099,0,0,0,0,1,0,0,0,0,0,0,0,409,52.101910828025,16,1,5,0,8,1,0,0,4,1,0,0,111,10,7,1,68,43,44,9,8,27,23,17,1,0,0,2,0,0,6,1,0,0,0,785,53,2,24,1001,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Real Sociedad,SOC,NA,2824
68756,128383,8,10495,248.1,36,0,0,0,5,1,1,3192,36,0,0,NA,NA,130335,overall,36,6.8916666666666995,0,0,632,448,1080,58.518518518519,401,231,45,1,2,100,3,5,0,0,0,0,0,10,66.666666666667,8,88.88888888888901,18,75,0,0,0,0,1,0,0,0,0,0,0,0,329,42.561448900388,26,4,0,0,6,2,0,0,4,0,0,0,106,12,0,1,67,37,40,3,15,42,38,18,3,0,0,1,2,0,6,1,0,0,0,773,43,1,37,495,585,NA,NA,0,NA,1433,NA,NA,NA,NA,NA,Real Sociedad,SOC,NA,2824
68758,128383,8,8578,0,0,0,0,0,5,0,0,1980,22,NA,0,0,0,375386,overall,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Real Sociedad,SOC,NA,2824
68919,128600,8,32501,26.1,4,0,0,0,1,0,0,360,4,0,0,NA,NA,562974,overall,4,6.525,0,0,58,66,124,46.77419354838701,23,35,14,0,0,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,41,38.317757009346,2,1,0,0,1,0,0,0,1,0,0,0,10,0,1,0,6,4,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,107,5,0,3,29,95,67,0,11,6,149,0,0,0,0,0,Real Valladolid,RVA,NA,2831
